DUID,REGION
BELLBAY2,TAS
CLEMGPWF,SA
ERGT01,NSW
HEPWIND1,VIC
MURR1-9,SNOWY
ADPPV1,SA
W/HOE#2,QLD
DPNTBG1,NSW
NASF1,NSW
ERNL1,NSW
BOWWPV1,SA
DRXNDA02,NSW
DRYCNL3,SA
SNUGNL1,SA
CBWWBA1G,SA
STAN-3,QLD
JNDABNE1,NSW
GUTHEGA,NSW
MP2,NSW
RT_TAS1,TAS
TUMUT3-2,SNOWY
WALGRVL1,NSW
AVLSF1,NSW
FARLEIGH,QLD
DREXMN01,NSW
YARANSF1,QLD
GOVILLB1,TAS
BARRON-2,QLD
VSSSE1V1,SA
TIBG1,SA
GUTH-1,SNOWY
BUTLERSG,TAS
CATHROCK,SA
LUCASHGT,NSW
BARCALDN,QLD
CPP_3,QLD
MURR1-5,SNOWY
BANGOWF2,NSW
JLA02,VIC
JUNEESF1,NSW
MPP_2,QLD
MLINKSA,SA
LOYYB1,VIC
RT_SA6,SA
KAREEYA2,QLD
ADPPV3,SA
MAPS2PV1,SA
TOWER,NSW
YARWUN_1,QLD
WDBESSG1,QLD
DRXQQE01,QLD
HVWWPV1,SA
ROYALLA1,NSW
BNGSF1,SA
GANNBL1,VIC
TUMUT2-3,SNOWY
TRIBUTE,TAS
URANQ12,NSW
RT_NSW1,NSW
BAYNL1,NSW
CATA_1,TAS
DRFIIN01,TAS
TUNGA_4,TAS
VSSSH1S1,NSW
HUMEV,VIC
KEPSF1,QLD
EDLRGNRD,QLD
FINLYSF1,NSW
MURR1-1,SNOWY
ASTHYD1,TAS
COPTNHYD,NSW
HALLWF1,SA
REECE1,TAS
MOREESF1,NSW
NBHWF1,SA
GEORGTN2,TAS
MLWF1,VIC
MURR2-2,SNOWY
PORTLAT1,TAS
LYA1,VIC
WGWF1,SA
DRVIOT03,NSW
DDSF1,QLD
LYGS3,VIC
CG3,NSW
MURR1-10,SNOWY
HUGSF1,QLD
HWPS4,VIC
KEPBL1,QLD
LK_ECHO,TAS
MUWAWF2,VIC
WRSF1,NSW
TUMUT3,NSW
GLENNCRK,NSW
LYGS4,VIC
AWABAREF,NSW
PIBESSL1,VIC
VICSMLT2,VIC
YABULU,QLD
MOORAWF1,VIC
NPSNL2,SA
SWAN_B_1,QLD
KKGTS,NSW
TABMILL2,QLD
DIAPURWF1,VIC
BNGSF2,SA
QBYNBG1,NSW
BBTHREE2,TAS
HAUGHT11,QLD
HBESSL1,VIC
RIVNBG2,NSW
WESTCBT1,NSW
KSP1,QLD
LADBROK2,SA
DRXVQX02,VIC
COOPGWF1,QLD
LKBONNY3,SA
GUTH-2,SNOWY
MP1,NSW
MPP_1,QLD
RT_SA4,SA
PLAYFB3,SA
STOCKYD1,VIC
FISHER,TAS
WWNL1,NSW
TORRA2,SA
SEBSF1,NSW
ROWALLAN,TAS
TALWA1,NSW
DRXNDA03,NSW
MACKNADE,QLD
TAHMOOR1,NSW
WEMENSF1,VIC
HAYMSF1,QLD
RT_VIC2,VIC
MURR2-3,SNOWY
PLAYFB4,SA
BROKENH1,NSW
QPS1,SA
SWAN_C,QLD
RT_VIC5,VIC
BALDHWF1,VIC
ER01,NSW
DRACAN1,NSW
HWPS2,VIC
NPS1,SA
ASQENC1,QLD
HVWWBA1G,SA
BURRIN,NSW
GULLRWF1,NSW
LYA3,VIC
RT_SA5,SA
DRVIOT04,QLD
VPGS4,VIC
GANGARR1,QLD
RESS1G,NSW
RT_VIC7,VIC
WELNSF1,NSW
DG_TAS1,TAS
POAT220,TAS
MLLFGEF1,NSW
TOORAWF,VIC
QPS5,SA
CHPSTWF1,VIC
RT_VIC3,VIC
COLNSV_4,QLD
PLAYFB2,SA
RT_VIC6,VIC
STWF1,NSW
