distributor,time_start,time_end,usage
Essential Energy,19:00:00,19:30:00,0.3605
Essential Energy,19:30:00,20:00:00,0.3474
Essential Energy,20:00:00,20:30:00,0.3365
Essential Energy,20:30:00,21:00:00,0.3233
Essential Energy,21:00:00,21:30:00,0.3147
Essential Energy,21:30:00,22:00:00,0.3091
Essential Energy,22:00:00,22:30:00,0.3114
Essential Energy,22:30:00,23:00:00,0.2981
Essential Energy,23:00:00,23:30:00,0.2856
Essential Energy,23:30:00,00:00:00,0.2802
SA Power Networks,00:00:00,00:30:00,0.2577
SA Power Networks,00:30:00,01:00:00,0.3017
SA Power Networks,01:00:00,01:30:00,0.2996
SA Power Networks,01:30:00,02:00:00,0.2542
SA Power Networks,02:00:00,02:30:00,0.2145
SA Power Networks,02:30:00,03:00:00,0.1884
SA Power Networks,03:00:00,03:30:00,0.1731
SA Power Networks,03:30:00,04:00:00,0.1557
SA Power Networks,04:00:00,04:30:00,0.1441
SA Power Networks,04:30:00,05:00:00,0.1394
SA Power Networks,05:00:00,05:30:00,0.1417
SA Power Networks,05:30:00,06:00:00,0.1498
SA Power Networks,06:00:00,06:30:00,0.1674
SA Power Networks,06:30:00,07:00:00,0.1802
SA Power Networks,07:00:00,07:30:00,0.2012
SA Power Networks,07:30:00,08:00:00,0.2064
SA Power Networks,08:00:00,08:30:00,0.2008
SA Power Networks,08:30:00,09:00:00,0.1963
SA Power Networks,09:00:00,09:30:00,0.1958
SA Power Networks,09:30:00,10:00:00,0.2001
SA Power Networks,10:00:00,10:30:00,0.2048
SA Power Networks,10:30:00,11:00:00,0.2125
SA Power Networks,11:00:00,11:30:00,0.215
SA Power Networks,11:30:00,12:00:00,0.2157
SA Power Networks,12:00:00,12:30:00,0.2705
SA Power Networks,12:30:00,13:00:00,0.3168
SA Power Networks,13:00:00,13:30:00,0.3146
SA Power Networks,13:30:00,14:00:00,0.2669
SA Power Networks,14:00:00,14:30:00,0.2252
SA Power Networks,14:30:00,15:00:00,0.1978
SA Power Networks,15:00:00,15:30:00,0.1818
