planId,distributor,brandName,displayName,planType,effectiveFrom,effectiveTo,dmoPrice,annualUsage,supplyCharge,demandCharge,estimatedCharge,differenceDmoPrice
OVO704311MRE4@EME,SA Power Networks,OVO Energy,The Basic EV Plan Telsa Giveaway,MARKET,2024-02-09 00:00:00+00:00,,2279.0,4011,418.88700000000006,1945.7360999999999,2364.6231,85.6230999999998
OVO704305MRE4@EME,Energex,OVO Energy,The Basic EV Plan Telsa Giveaway,MARKET,2024-02-09 00:00:00+00:00,,1969.0,4613,326.655,1525.7497500000002,1852.4047500000001,-116.59524999999985
OVO704290MRE4@EME,Endeavour,OVO Energy,The Basic EV Plan Telsa Giveaway,MARKET,2024-02-09 00:00:00+00:00,,2228.0,4913,315.126,1702.3545,2017.4805,-210.5195000000001
OVO704516MRE3@EME,SA Power Networks,OVO Energy,The One Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,398.94,1544.2350000000001,1943.1750000000002,-335.8249999999998
OVO704507MRE3@EME,Energex,OVO Energy,The One Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,311.1,1157.863,1468.9630000000002,-500.0369999999998
OVO704492MRE3@EME,Endeavour,OVO Energy,The One Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,300.12,1311.7710000000002,1611.891,-616.1089999999999
OVO704473MRE3@EME,SA Power Networks,OVO Energy,The Free 3 Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,398.94,1788.906,2187.846,-91.154
OVO704477MRE3@EME,Ausgrid,OVO Energy,The One Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,1827.0,3911,256.2,1063.7920000000001,1319.9920000000002,-507.0079999999998
OVO704452MRE3@EME,Endeavour,OVO Energy,The Free 3 Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,300.12,1527.943,1828.063,-399.9369999999999
OVO704460MRE3@EME,Energex,OVO Energy,The Free 3 Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,311.1,1374.674,1685.774,-283.2260000000001
OVO704348MRE3@EME,SA Power Networks,OVO Energy,The Basic Free 3 Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,418.88700000000006,1878.3513,2297.2383,18.23829999999998
OVO704342MRE3@EME,Energex,OVO Energy,The Basic Free 3 Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,326.655,1443.4077,1770.0627,-198.93730000000005
OVO704327MRE3@EME,Endeavour,OVO Energy,The Basic Free 3 Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,315.126,1604.34015,1919.46615,-308.53385000000003
OVO704385MRE3@EME,SA Power Networks,OVO Energy,The Basic Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2279.0,4011,418.88700000000006,1621.44675,2040.3337500000002,-238.66624999999976
OVO704370MRE3@EME,Energex,OVO Energy,The Basic Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,1969.0,4613,326.655,1215.75615,1542.41115,-426.5888500000001
