,notice_date,region,type,reference
503,2021-05-25 18:13:23,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 25/05/2021
35,2021-05-26 17:36:15,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 26/05/2021
579,2021-05-29 17:41:32,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 29/05/2021
346,2021-05-29 21:09:05,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 29/05/2021
247,2021-05-30 17:16:28,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 30/05/2021
190,2021-05-31 17:38:47,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 31/05/2021
424,2021-05-31 17:44:26,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 31/05/2021
114,2021-06-01 07:38:57,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 01/06/2021
504,2021-06-01 17:44:11,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 01/06/2021
36,2021-06-03 07:42:54,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 03/06/2021
580,2021-06-03 09:08:01,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 03/06/2021
347,2021-06-03 16:49:11,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 03/06/2021
248,2021-06-03 17:44:31,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 03/06/2021
943,2021-06-10 16:46:50,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 10/06/2021
874,2021-06-10 18:12:27,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 10/06/2021
1159,2021-06-14 17:38:12,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 14/06/2021
1177,2021-06-16 07:46:10,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 16/06/2021
1036,2021-06-16 17:14:05,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 16/06/2021
749,2021-06-22 17:38:51,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 22/06/2021
676,2021-06-23 17:14:02,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 23/06/2021
823,2021-06-29 17:43:08,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 29/06/2021
1108,2021-07-01 17:45:31,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 01/07/2021
964,2021-07-05 17:47:11,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 05/07/2021
894,2021-07-06 17:44:39,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 06/07/2021
1178,2021-07-06 18:09:34,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 06/07/2021
1037,2021-07-06 18:24:56,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 06/07/2021
750,2021-07-07 17:40:16,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 07/07/2021
170,2021-07-12 17:17:45,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 12/07/2021
404,2021-07-12 17:28:49,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 12/07/2021
93,2021-07-14 08:12:01,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 14/07/2021
482,2021-07-14 12:53:35,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 14/07/2021
15,2021-07-14 17:38:16,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 14/07/2021
561,2021-07-14 17:50:45,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 14/07/2021
327,2021-07-19 08:12:16,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 19/07/2021
264,2021-07-21 17:46:43,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 21/07/2021
171,2021-07-21 17:53:17,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Qld region - 21/07/2021
405,2021-07-21 18:14:04,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the Qld region - 21/07/2021
94,2021-07-21 19:22:39,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 21/07/2021
708,2021-07-22 09:14:10,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 22/07/2021
635,2021-07-22 16:49:32,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 22/07/2021
781,2021-07-22 17:15:56,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 22/07/2021
1068,2021-07-26 18:18:44,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Qld region - 26/07/2021
364,2021-08-30 18:14:13,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the Qld region - 30/07/2021
191,2021-10-14 17:41:32,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 14/10/2021
425,2021-10-30 17:49:19,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 30/10/2021
1018,2021-12-09 17:19:20,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 09/12/2021
921,2021-12-20 17:49:00,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 20/12/2021
483,2022-01-17 17:45:45,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region - 17/01/2022
16,2022-01-31 18:46:02,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region - 31/01/2022
562,2022-02-01 15:30:09,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 01/02/2022
328,2022-02-01 16:52:53,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 01/02/2022
265,2022-02-01 17:38:32,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 01/02/2022
172,2022-02-02 15:00:38,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 01/02/2022
406,2022-02-17 15:51:24,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 17/02/2022
677,2022-02-21 15:54:41,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 21/02/2022
824,2022-03-08 17:14:24,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 08/03/2022
1109,2022-03-08 17:43:22,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 08/03/2022
965,2022-03-09 17:48:55,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 09/03/2022
285,2022-03-31 18:20:16,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 31/03/2022
207,2022-04-05 17:47:10,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 05/04/2022
441,2022-05-03 17:48:01,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 03/05/2022
132,2022-05-04 17:42:57,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 04/05/2022
521,2022-05-06 17:17:33,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 06/05/2022
53,2022-05-07 17:52:35,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 07/05/2022
596,2022-05-09 17:19:04,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 09/05/2022
365,2022-05-10 17:49:32,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 10/05/2022
839,2022-05-11 08:15:44,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 11/05/2022
1125,2022-05-16 17:35:05,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 16/05/2022
981,2022-05-30 08:43:15,TAS,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the TAS Region on 30/05/2022
910,2022-05-31 17:20:05,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 31/05/2022
1195,2022-06-05 18:24:59,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA region - 05/06/2022
1053,2022-06-06 08:16:31,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA region - 06/06/2022
768,2022-06-08 18:20:57,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 08/06/2022
694,2022-06-09 17:52:54,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 09/06/2022
840,2022-06-10 08:46:06,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 10/06/2022
1126,2022-06-10 18:21:22,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 10/06/2022
982,2022-06-10 19:16:49,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 10/06/2022
911,2022-06-12 17:54:09,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 12/06/2022
1196,2022-06-12 20:50:32,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 12/06/2022
1054,2022-06-12 22:18:48,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 12/06/2022
769,2022-06-13 05:46:04,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 13/06/2022
695,2022-06-13 06:20:29,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 13/06/2022
72,2022-06-13 16:51:07,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 13/06/2022
615,2022-06-13 17:21:28,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 13/06/2022
385,2022-06-13 17:24:41,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 13/06/2022
305,2022-06-13 17:50:54,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 13/06/2022
227,2022-06-13 23:27:12,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region beginning on 13/06/2022
461,2022-06-13 23:39:06,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region beginning on 13/06/2022
152,2022-06-14 04:38:49,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 14/06/2022
541,2022-06-14 07:36:18,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 14/06/2022
73,2022-06-14 11:25:41,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 14/06/2022
616,2022-06-14 19:30:32,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 14/06/2022
386,2022-06-15 12:33:53,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the VIC Region beginning on 15/06/2022
115,2022-06-15 19:07:56,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 15/06/2022
505,2022-06-16 06:38:40,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 16/06/2022
37,2022-06-16 08:13:27,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 16/06/2022
581,2022-06-16 20:52:25,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 16/06/2022
348,2022-06-17 15:24:50,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 17/06/2022
249,2022-06-17 18:06:22,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 17/06/2022
192,2022-06-17 21:18:23,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 17/06/2022
426,2022-06-18 06:29:39,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 18/06/2022
730,2022-06-20 20:40:58,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA region - 20/06/2022
657,2022-06-21 07:08:35,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 21/06/2022
804,2022-06-21 08:07:40,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 21/06/2022
1090,2022-06-21 08:19:08,SA,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the SA Region on 21/06/2022
944,2022-06-21 17:59:36,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC Region on 21/06/2022
875,2022-06-21 18:35:52,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 21/06/2022
1160,2022-06-22 04:36:26,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 22/06/2022
1019,2022-06-22 07:32:43,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC region - 22/06/2022
731,2022-06-22 07:34:58,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 22/06/2022
658,2022-06-22 07:37:38,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 22/06/2022
805,2022-06-22 14:51:09,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC Region on 22/06/2022
1091,2022-06-22 17:56:19,VIC,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the VIC region - 22/06/2022
945,2022-06-22 17:57:18,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 22/06/2022
876,2022-06-22 18:02:44,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 22/06/2022
1161,2022-06-22 18:04:11,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 22/06/2022
1020,2022-06-22 18:28:39,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 22/06/2022
853,2022-07-04 16:55:17,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 04/07/2022
1140,2022-07-04 21:00:56,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 04/07/2022
998,2022-07-05 08:18:51,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 05/07/2022
709,2022-07-05 08:49:26,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 05/07/2022
636,2022-07-05 15:06:08,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 05/07/2022
782,2022-07-05 17:46:24,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 05/07/2022
1069,2022-07-05 17:47:31,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 05/07/2022
922,2022-07-06 12:49:06,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 06/07/2022
854,2022-07-06 17:51:47,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 06/07/2022
1141,2022-07-06 17:52:40,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 06/07/2022
999,2022-07-07 06:49:35,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 07/07/2022
710,2022-07-07 17:49:04,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 07/07/2022
637,2022-07-08 07:31:53,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 08/07/2022
783,2022-07-08 17:24:08,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 08/07/2022
95,2022-07-09 08:29:42,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 09/07/2022
484,2022-07-11 17:25:02,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 11/07/2022
17,2022-07-11 17:49:37,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 11/07/2022
329,2022-07-12 17:50:13,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 12/07/2022
563,2022-07-12 18:06:11,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 12/07/2022
266,2022-07-13 06:46:12,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 13/07/2022
173,2022-07-13 17:49:59,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 13/07/2022
407,2022-07-14 17:47:45,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 14/07/2022
96,2022-07-15 06:42:27,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 15/07/2022
485,2022-07-15 17:49:01,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 15/07/2022
18,2022-07-18 18:34:53,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 18/07/2022
564,2022-07-20 17:54:13,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 20/07/2022
330,2022-07-21 17:53:05,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 21/07/2022
267,2022-08-03 17:43:17,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 03/08/2022
174,2022-08-08 18:24:19,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 08/08/2022
408,2022-08-09 08:46:27,TAS,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the TAS Region on 09/08/2022
895,2022-08-12 05:24:18,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 12/08/2022
1179,2022-08-13 06:20:05,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 13/08/2022
1038,2022-08-13 08:43:38,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 13/08/2022
751,2022-08-13 16:49:29,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 13/08/2022
678,2022-08-15 17:49:12,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 15/08/2022
825,2022-08-16 06:46:16,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 16/08/2022
1110,2022-08-16 17:47:25,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 16/08/2022
966,2022-08-16 19:45:58,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 16/08/2022
896,2022-08-18 06:51:42,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 18/08/2022
1180,2022-08-20 19:09:05,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 20/08/2022
1039,2022-08-29 07:19:45,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 29/08/2022
752,2022-09-05 18:20:06,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 05/09/2022
286,2022-09-06 17:28:18,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 06/09/2022
208,2022-09-08 00:47:29,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 08/09/2022
442,2022-09-10 18:54:22,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 10/09/2022
133,2022-09-11 18:08:55,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 11/09/2022
522,2022-09-11 19:19:21,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 11/09/2022
54,2022-09-12 07:24:26,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 12/09/2022
597,2022-09-12 17:49:33,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 12/09/2022
366,2022-09-12 19:30:22,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 12/09/2022
209,2022-09-14 17:55:29,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 14/09/2022
443,2022-09-20 22:29:59,SA,LOR1,Actual Lack of Reserve Level 1 (LOR1) in the SA region - 20/09/2022
134,2022-09-22 18:45:46,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 22/09/2022
523,2022-10-05 09:42:40,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 05/10/2022
116,2022-11-21 18:23:44,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 21/11/2022
506,2022-12-05 17:22:31,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 05/12/2022
732,2023-01-09 18:55:48,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 09/01/2023
659,2023-01-26 18:21:23,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 26/01/2023
806,2023-01-29 14:45:01,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 29/01/2023
1092,2023-01-29 19:21:17,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 29/01/2023
841,2023-01-31 17:52:36,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 31/01/2023
1127,2023-01-31 19:16:51,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 31/01/2023
983,2023-01-31 19:48:07,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 31/01/2023
912,2023-02-01 18:49:02,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 01/02/2023
1197,2023-02-02 17:20:35,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 02/02/2023
1055,2023-02-03 16:20:24,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region on 03/02/2023
770,2023-02-03 18:21:59,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 03/02/2023
696,2023-02-09 19:26:07,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA region - 09/02/2023
842,2023-02-11 18:22:16,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 11/02/2023
1128,2023-02-12 18:44:59,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 12/02/2023
984,2023-02-13 18:40:42,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 13/02/2023
913,2023-02-16 18:26:15,VIC,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the VIC Region on 16/02/2023
1198,2023-02-16 19:20:12,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 16/02/2023
1070,2023-02-23 18:49:17,SA,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the SA Region on 23/02/2023
923,2023-03-06 16:23:20,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 06/03/2023
855,2023-03-06 17:31:44,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 06/03/2023
1142,2023-03-16 16:34:49,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 16/03/2023
1000,2023-03-16 17:54:35,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW region - 16/03/2023
711,2023-03-16 17:56:25,QLD,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the QLD Region on 16/03/2023
638,2023-03-16 18:56:57,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 16/03/2023
1071,2023-03-17 17:54:06,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 17/03/2023
784,2023-03-17 17:54:46,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 17/03/2023
924,2023-03-18 17:52:56,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 18/03/2023
856,2023-03-19 17:21:15,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 19/03/2023
679,2023-03-27 18:22:49,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 27/03/2023
826,2023-03-28 18:46:48,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 28/03/2023
1111,2023-04-11 17:54:02,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 11/04/2023
967,2023-04-12 17:48:23,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 12/04/2023
897,2023-04-16 17:53:19,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 16/04/2023
1181,2023-04-17 17:24:16,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD Region on 17/04/2023
97,2023-05-04 17:55:30,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 04/05/2023
486,2023-05-05 18:19:17,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 05/05/2023
19,2023-05-06 17:50:38,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 06/05/2023
565,2023-05-07 17:50:03,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 07/05/2023
331,2023-05-08 18:20:33,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 08/05/2023
268,2023-05-17 18:20:59,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 17/05/2023
175,2023-05-22 18:32:43,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 22/05/2023
409,2023-05-23 07:15:52,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 23/05/2023
98,2023-05-23 17:22:46,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 23/05/2023
487,2023-05-24 06:49:23,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 24/05/2023
20,2023-05-24 17:21:37,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 24/05/2023
566,2023-05-25 07:20:51,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 25/05/2023
332,2023-05-25 16:53:36,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW region - 25/05/2023
269,2023-05-25 17:58:41,QLD,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the QLD region - 25/05/2023
176,2023-05-25 20:19:28,NSW,LOR2,Actual Lack Of Reserve Level 2 (LOR2) in the NSW Region on 25/05/2023
410,2023-05-26 17:51:09,NSW,LOR1,Actual Lack Of Reserve Level 1 (LOR1) in the NSW Region on 26/05/2023
