,notice_date,region,type,reference
1012,2012-07-03 09:40:41,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 3 July 2012
724,2012-07-19 12:23:04,SA,LOR2,Actual LOR2 South Australia Region - Thurs 19 July 2012
651,2012-08-13 11:06:35,SA,LOR2,Actual LOR2 South Australia Region - Monday 13 August 2012
798,2012-08-14 07:16:51,SA,LOR2,Actual LOR2 South Australia Region - Tuesday 14 August 2012
1084,2012-08-15 09:16:18,SA,LOR2,Actual LOR2 South Australia Region - Wednesday 15 August 2012
938,2012-08-15 16:00:01,SA,LOR2,Actual LOR2 South Australia Region - Wednesday 15 August 2012
869,2012-08-18 06:54:37,SA,LOR2,Actual LOR2 South Australia Region - Saturday 18 August 2012
1155,2012-08-19 06:10:02,SA,LOR2,Actual LOR2 South Australia Region - Sunday 19 August 2012
1013,2012-08-19 17:50:24,SA,LOR2,Actual LOR2 South Australia Region - Sunday 19 August 2012
725,2012-08-20 20:05:19,SA,LOR2,Actuall LOR2 South Australia Region - Monday 20 August 2012
652,2012-08-21 08:34:06,SA,LOR2,Actuall LOR2 South Australia Region - Tuesday 21 August 2012
799,2012-08-21 22:35:23,SA,LOR2,Actuall LOR2 South Australia Region - Tuesday 21 August 2012
1085,2012-08-27 08:23:12,SA,LOR2,Actual LOR2 South Australia Region - Monday 27 August 2012
435,2012-09-01 06:35:36,SA,LOR2,Actual LOR2 South Australia Region - Sat 1 Sept 2012
126,2012-09-01 19:40:06,SA,LOR2,Actual LOR2 South Australia Region - Sat 1 Sept 2012
515,2012-09-03 14:43:19,SA,LOR2,Actual LOR2 South Australia Region - Monday 3rd Sept 2012
47,2012-09-10 06:11:11,SA,LOR2,Actual LOR2 South Australia Region - 10 September 2012
591,2012-09-11 06:05:33,SA,LOR2,Actual LOR2 South Australia Region - 11 September 2012
359,2012-09-11 13:48:08,SA,LOR2,Actual LOR2 South Australia Region - 11 September 2012
280,2012-10-09 09:40:31,SA,LOR2,Actual LOR2 South Australia Region - 9 October 2012
476,2012-11-13 12:15:47,SA,LOR2,Actual LOR2 South Australia Region - 9 October 2012
9,2012-11-26 13:45:02,SA,LOR2,"Actual LOR2 South Australia Region - Monday, 26 Nov 2012"
555,2012-11-27 12:03:02,SA,LOR2,Actual LOR2 South Australia Region - 27 Nov 2012
321,2012-11-28 06:03:06,SA,LOR2,Actual LOR2 South Australia Region - 28 Nov 2012
